ID,RSU Code,SDU Billing Rates,Circle,GST State,ID (Rsu Items),Item (Rsu Items),Plan FAT (Rsu Items),Plan Fibre length (Rsu Items),Plan HP (Rsu Items)
,,,,,fji3tqv4kj,SER-FSDU-CFT-48F,222,520,1776
S3L-0-DEL-11254,S3L-0,DEL 1 Year Fix,DEL,,fji37njsju,SER-FSDU-CFT-6F,281,3381,2248
,,,,,fji3bmj6jc,SER-FSDU-CFT-12F,281,2642,2248
,,,,,fji3qahn78,SER-FSDU-CFT-24F,281,3335,2248
,,,,,fji3tugk53,SER-FSDU-CFT-48F,281,4512,2248
S2L-0-DEL-11253,S2L-0,DEL 1 Year Fix,DEL,Delhi,fji3cq61ja,SER-FSDU-CFT-6F,119,1962,952
,,,,,fji3r7p9q5,SER-FSDU-CFT-12F,119,1329,952
,,,,,fji32ne81m,SER-FSDU-CFT-24F,119,309,952
,,,,,fji314r6sk,SER-FSDU-CFT-48F,119,0,952
RZ4-0-DEL-11252,RZ4-0,DEL 1 Year Fix,DEL,,fji3h9o3j2,SER-FSDU-CFT-6F,183,2740,1920
,,,,,fji37r920d,SER-FSDU-CFT-12F,183,2976,1920
,,,,,fji3mtdjhc,SER-FSDU-CFT-24F,183,4916,1920
,,,,,fji3d5df5a,SER-FSDU-CFT-48F,183,2308,1920
RM0-0-DEL-11251,RM0-0,DEL 1 Year Fix,DEL,,fji3nn6sc6,SER-FSDU-CFT-6F,172,2110,1376
,,,,,fji3pl4a03,SER-FSDU-CFT-12F,172,3065,1376
,,,,,fji3eurhir,SER-FSDU-CFT-24F,172,3130,1376
,,,,,fji3c6r9op,SER-FSDU-CFT-48F,172,3720,1376
RJ2-0-DEL-11250,RJ2-0,DEL 1 Year Fix,DEL,,fji36ck702,SER-FSDU-CFT-6F,274,7580,2232
,,,,,fji3je5u78,SER-FSDU-CFT-12F,274,2260,2232
,,,,,fji36t1ps9,SER-FSDU-CFT-24F,274,1540,2232
,,,,,fji3nf0jre,SER-FSDU-CFT-48F,274,1330,2232
RAP-0-DEL-11249,RAP-0,DEL 1 Year Fix,DEL,,fji3mcq3mb,SER-FSDU-CFT-6F,99,1690,936
,,,,,fji3r5vn45,SER-FSDU-CFT-12F,99,1770,936
,,,,,fji3omffnu,SER-FSDU-CFT-24F,99,1270,936
,,,,,fji3of0k98,SER-FSDU-CFT-48F,99,393,936
R4W-0-DEL-11248,R4W-0,DEL 1 Year Fix,DEL,Delhi,fji3kugh76,SER-FSDU-CFT-6F,190,,1520
,,,,,fji30m95em,SER-FSDU-CFT-12F,190,,1520
,,,,,fji32jeqju,SER-FSDU-CFT-24F,190,,1520
,,,,,fji3selnpq,SER-FSDU-CFT-48F,190,,1520
R3O-0-DEL-11247,R3O-0,DEL 1 Year Fix,DEL,,fji353ksu8,SER-FSDU-CFT-6F,155,2910,1240
,,,,,fji3kkagdv,SER-FSDU-CFT-12F,155,3257,1240
,,,,,fji3nivjmm,SER-FSDU-CFT-24F,155,1675,1240
,,,,,fji3jtepql,SER-FSDU-CFT-48F,155,507,1240
R2Z-0-DEL-11246,R2Z-0,DEL 1 Year Fix,DEL,,fji2l90jn3,SER-FSDU-CFT-6F,304,8970,2432
,,,,,fji2gtnl7b,SER-FSDU-CFT-12F,304,3360,2432
,,,,,fji2ckkc5q,SER-FSDU-CFT-24F,304,3540,2432
,,,,,fji26bl4df,SER-FSDU-CFT-48F,304,45,2432
R2P-0-DEL-11245,R2P-0,DEL 1 Year Fix,DEL,,fji26rnbov,SER-FSDU-CFT-6F,159,5000,1272
,,,,,fji2q8jv6v,SER-FSDU-CFT-12F,159,3000,1272
,,,,,fji2usrivv,SER-FSDU-CFT-24F,159,2400,1272
,,,,,fji25a9a57,SER-FSDU-CFT-48F,159,210,1272
R0H-0-DEL-11244,R0H-0,DEL 1 Year Fix,DEL,,fji2ta3tjn,SER-FSDU-CFT-6F,140,1701,1120
,,,,,fji2354ss0,SER-FSDU-CFT-12F,140,1296,1120
,,,,,fji2m551je,SER-FSDU-CFT-24F,140,4118,1120
,,,,,fji26777n3,SER-FSDU-CFT-48F,140,0,1120
