"ID","RSU Code","SDU Billing Rates","Circle","GST State","ID (Rsu Items)","Item (Rsu Items)","Plan FAT (Rsu Items)","Plan Fibre length (Rsu Items)","Plan HP (Rsu Items)"
"","","","","","","SER-FSDU-CFT-24F",102,0,1632
"","","","","","","SER-FSDU-CFT-48F",102,0,1632
"","A3S-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",20,0,320
"","","","","","","SER-FSDU-CFT-12F",20,0,320
"","","","","","","SER-FSDU-CFT-24F",20,0,320
"","","","","","","SER-FSDU-CFT-48F",20,0,320
"","A3k-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",283,0,2320
"","","","","","","SER-FSDU-CFT-12F",283,0,2320
"","","","","","","SER-FSDU-CFT-24F",283,0,2320
"","","","","","","SER-FSDU-CFT-48F",283,0,2320
"","B0P-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",147,0,1240
"","","","","","","SER-FSDU-CFT-12F",147,0,1240
"","","","","","","SER-FSDU-CFT-24F",147,0,1240
"","","","","","","SER-FSDU-CFT-48F",147,0,1240
"","B0U-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",52,0,416
"","","","","","","SER-FSDU-CFT-12F",52,0,416
"","","","","","","SER-FSDU-CFT-24F",52,0,416
"","","","","","","SER-FSDU-CFT-48F",52,0,416
"","B2A-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",47,0,752
"","","","","","","SER-FSDU-CFT-12F",47,0,752
"","","","","","","SER-FSDU-CFT-24F",47,0,752
"","","","","","","SER-FSDU-CFT-48F",47,0,752
"","B2F-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",178,0,1424
"","","","","","","SER-FSDU-CFT-12F",178,0,1424
"","","","","","","SER-FSDU-CFT-24F",178,0,1424
"","","","","","","SER-FSDU-CFT-48F",178,0,1424
"","B2Y-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",122,0,976
"","","","","","","SER-FSDU-CFT-12F",122,0,976
"","","","","","","SER-FSDU-CFT-24F",122,0,976
"","","","","","","SER-FSDU-CFT-48F",122,0,976
"","B3C-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",175,0,1400
"","","","","","","SER-FSDU-CFT-12F",175,0,1400
"","","","","","","SER-FSDU-CFT-24F",175,0,1400
"","","","","","","SER-FSDU-CFT-48F",175,0,1400
"","B3N-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",211,0,1688
"","","","","","","SER-FSDU-CFT-12F",211,0,1688
"","","","","","","SER-FSDU-CFT-24F",211,0,1688
"","","","","","","SER-FSDU-CFT-48F",211,0,1688
"","B3N - 1-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",13,0,80
"","","","","","","SER-FSDU-CFT-12F",13,0,80
"","","","","","","SER-FSDU-CFT-24F",13,0,80
"","","","","","","SER-FSDU-CFT-48F",13,0,80
"","B3R-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",136,0,1088
"","","","","","","SER-FSDU-CFT-12F",136,0,1088
"","","","","","","SER-FSDU-CFT-24F",136,0,1088
"","","","","","","SER-FSDU-CFT-48F",136,0,1088
"","BD3-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",51,0,408
"","","","","","","SER-FSDU-CFT-12F",51,0,408
"","","","","","","SER-FSDU-CFT-24F",51,0,408
"","","","","","","SER-FSDU-CFT-48F",51,0,408
"","BD4-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",42,0,384
"","","","","","","SER-FSDU-CFT-12F",42,0,384
"","","","","","","SER-FSDU-CFT-24F",42,0,384
"","","","","","","SER-FSDU-CFT-48F",42,0,384
"","BIA-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",159,0,1272
"","","","","","","SER-FSDU-CFT-12F",159,0,1272
"","","","","","","SER-FSDU-CFT-24F",159,0,1272
"","","","","","","SER-FSDU-CFT-48F",159,0,1272
"","BT3-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",123,0,984
"","","","","","","SER-FSDU-CFT-12F",123,0,984
"","","","","","","SER-FSDU-CFT-24F",123,0,984
"","","","","","","SER-FSDU-CFT-48F",123,0,984
"","BU0-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",200,0,1600
"","","","","","","SER-FSDU-CFT-12F",200,0,1600
"","","","","","","SER-FSDU-CFT-24F",200,0,1600
"","","","","","","SER-FSDU-CFT-48F",200,0,1600
"","C1N-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",261,0,2296
"","","","","","","SER-FSDU-CFT-12F",261,0,2296
"","","","","","","SER-FSDU-CFT-24F",261,0,2296
