"ID","RSU Code","SDU Billing Rates","Circle","GST State","ID (Rsu Items)","Item (Rsu Items)","Plan FAT (Rsu Items)","Plan Fibre length (Rsu Items)","Plan HP (Rsu Items)"
"","","","","","1ne6r37uf8","SER-FSDU-CFT-12F",67,0,648
"","","","","","1ne6ev7ik4","SER-FSDU-CFT-24F",67,0,648
"","","","","","1ne6hi2r4k","SER-FSDU-CFT-48F",67,0,648
"SSL-0-KTK-11473","SSL-0","KTK 1 Year Fix","KTK","","1ne6iqsk1m","SER-FSDU-CFT-6F",201,0,1808
"","","","","","1ne6n5acs0","SER-FSDU-CFT-12F",201,0,1808
"","","","","","1ne6oq2cji","SER-FSDU-CFT-24F",201,0,1808
"","","","","","1ne6gq2co4","SER-FSDU-CFT-48F",201,0,1808
"SRP-0-KTK-11472","SRP-0","KTK 1 Year Fix","KTK","","1ne6c8khf5","SER-FSDU-CFT-6F",375,0,4414
"","","","","","1ne6ccbdqm","SER-FSDU-CFT-12F",375,0,4414
"","","","","","1ne6hger0u","SER-FSDU-CFT-24F",375,0,4414
"","","","","","1ne62r8rdc","SER-FSDU-CFT-48F",375,0,4414
"SRK-0-KTK-11471","SRK-0","KTK 1 Year Fix","KTK","","1ne5jo4sgm","SER-FSDU-CFT-6F",290,0,2416
"","","","","","1ne5bovt3f","SER-FSDU-CFT-12F",290,0,2416
"","","","","","1ne55bfcdc","SER-FSDU-CFT-24F",290,0,2416
"","","","","","1ne5t4o0e1","SER-FSDU-CFT-48F",290,0,2416
"SRA-0-KTK-11470","SRA-0","KTK 1 Year Fix","KTK","","1ne5ujlvc5","SER-FSDU-CFT-6F",100,0,1232
"","","","","","1ne5qsgdef","SER-FSDU-CFT-12F",100,0,1232
"","","","","","1ne5ovbart","SER-FSDU-CFT-24F",100,0,1232
"","","","","","1ne5a9gkkb","SER-FSDU-CFT-48F",100,0,1232
"SPH-0-KTK-11469","SPH-0","KTK 1 Year Fix","KTK","","1ne5m8i2de","SER-FSDU-CFT-6F",167,0,2112
"","","","","","1ne520hrq6","SER-FSDU-CFT-12F",167,0,2112
"","","","","","1ne5uehf3k","SER-FSDU-CFT-24F",167,0,2112
"","","","","","1ne52vbi28","SER-FSDU-CFT-48F",167,0,2112
"SPG-0-KTK-11468","SPG-0","KTK 1 Year Fix","KTK","","1ne5uqesd2","SER-FSDU-CFT-6F",119,0,1088
"","","","","","1ne5ap52sa","SER-FSDU-CFT-12F",119,0,1088
"","","","","","1ne5kuvvrh","SER-FSDU-CFT-24F",119,0,1088
"","","","","","1ne5hh25fa","SER-FSDU-CFT-48F",119,0,1088
"SMW-0-KTK-11467","SMW-0","KTK 1 Year Fix","KTK","","1ne56kl6fe","SER-FSDU-CFT-6F",64,0,640
"","","","","","1ne5d91vd0","SER-FSDU-CFT-12F",64,0,640
"","","","","","1ne5jhtp4f","SER-FSDU-CFT-24F",64,0,640
"","","","","","1ne5gvarfk","SER-FSDU-CFT-48F",64,0,640
"SMR-0-KTK-11466","SMR-0","KTK 1 Year Fix","KTK","","1ne51qakf1","SER-FSDU-CFT-6F",470,0,4064
"","","","","","1ne5bk2vkd","SER-FSDU-CFT-12F",470,0,4064
"","","","","","1ne54j0bua","SER-FSDU-CFT-24F",470,0,4064
"","","","","","1ne5sfd3gc","SER-FSDU-CFT-48F",470,0,4064
"SMH-0-KTK-11465","SMH-0","KTK 1 Year Fix","KTK","","1ne5ngpd4s","SER-FSDU-CFT-6F",203,0,1632
"","","","","","1ne522trv6","SER-FSDU-CFT-12F",203,0,1632
"","","","","","1ne5bqbqgg","SER-FSDU-CFT-24F",203,0,1632
"","","","","","1ne523h5pj","SER-FSDU-CFT-48F",203,0,1632
"SKS-0-KTK-11464","SKS-0","KTK 1 Year Fix","KTK","","1ne5u0adho","SER-FSDU-CFT-6F",306,0,2520
"","","","","","1ne5dc1944","SER-FSDU-CFT-12F",306,0,2520
"","","","","","1ne5f395mm","SER-FSDU-CFT-24F",306,0,2520
"","","","","","1ne57b2q3t","SER-FSDU-CFT-48F",306,0,2520
"SKC-0-KTK-11463","SKC-0","KTK 1 Year Fix","KTK","","1ne59j5tob","SER-FSDU-CFT-6F",225,0,1848
"","","","","","1ne557ifnf","SER-FSDU-CFT-12F",225,0,1848
"","","","","","1ne5i5r15s","SER-FSDU-CFT-24F",225,0,1848
"","","","","","1ne51q9j3o","SER-FSDU-CFT-48F",225,0,1848
"SJN-0-KTK-11462","SJN-0","KTK 1 Year Fix","KTK","","1ne43958mm","SER-FSDU-CFT-6F",426,0,4016
"","","","","","1ne4vupgku","SER-FSDU-CFT-12F",426,0,4016
"","","","","","1ne406inur","SER-FSDU-CFT-24F",426,0,4016
"","","","","","1ne4s7o4f5","SER-FSDU-CFT-48F",426,0,4016
"SIP-0-KTK-11461","SIP-0","KTK 1 Year Fix","KTK","","1ne4k97ug1","SER-FSDU-CFT-6F",218,0,2024
"","","","","","1ne4374vl9","SER-FSDU-CFT-12F",218,0,2024
"","","","","","1ne45htj2s","SER-FSDU-CFT-24F",218,0,2024
"","","","","","1ne48p73v2","SER-FSDU-CFT-48F",218,0,2024
"SIG-0-KTK-11460","SIG-0","KTK 1 Year Fix","KTK","","1ne47tnlsu","SER-FSDU-CFT-6F",145,0,1376
"","","","","","1ne4b02ckj","SER-FSDU-CFT-12F",145,0,1376
"","","","","","1ne4oksk6n","SER-FSDU-CFT-24F",145,0,1376
"","","","","","1ne48np83g","SER-FSDU-CFT-48F",145,0,1376
"SHG-0-KTK-11459","SHG-0","KTK 1 Year Fix","KTK","","1ne4jl98tc","SER-FSDU-CFT-6F",188,0,1594
"","","","","","1ne49o0dju","SER-FSDU-CFT-12F",188,0,1594
"","","","","","1ne4ecn7mi","SER-FSDU-CFT-24F",188,0,1594
"","","","","","1ne4erlal9","SER-FSDU-CFT-48F",188,0,1594
"SH9-0-KTK-11458","SH9-0","KTK 1 Year Fix","KTK","Karnataka","1ne47fgrc4","SER-FSDU-CFT-6F",197,0,1696
"","","","","","1ne456e96p","SER-FSDU-CFT-12F",197,0,1696
"","","","","","1ne47pp0co","SER-FSDU-CFT-24F",197,0,1696
"","","","","","1ne4jhac86","SER-FSDU-CFT-48F",197,0,1696
"SGX-0-KTK-11457","SGX-0","KTK 1 Year Fix","KTK","","1ne470snle","SER-FSDU-CFT-6F",133,0,1080
"","","","","","1ne4qhgbnh","SER-FSDU-CFT-12F",133,0,1080
"","","","","","1ne4539tln","SER-FSDU-CFT-24F",133,0,1080
"","","","","","1ne467kbs6","SER-FSDU-CFT-48F",133,0,1080
"SGS-0-KTK-11456","SGS-0","KTK 1 Year Fix","KTK","Karnataka","1ne4am3974","SER-FSDU-CFT-6F",50,0,472
"","","","","","1ne4a3ja2k","SER-FSDU-CFT-12F",50,0,472
"","","","","","1ne4ovsm0s","SER-FSDU-CFT-24F",50,0,472
"","","","","","1ne4r0cr4b","SER-FSDU-CFT-48F",50,0,472
"SGP-0-KTK-11455","SGP-0","KTK 1 Year Fix","KTK","","1ne440ve65","SER-FSDU-CFT-6F",365,0,3392
"","","","","","1ne4d4gmmv","SER-FSDU-CFT-12F",365,0,3392
"","","","","","1ne4fgcrf9","SER-FSDU-CFT-24F",365,0,3392
"","","","","","1ne4kv06og","SER-FSDU-CFT-48F",365,0,3392
"SGB-0-KTK-11454","SGB-0","KTK 1 Year Fix","KTK","","1ne32oa5gh","SER-FSDU-CFT-6F",357,0,3048
"","","","","","1ne3vhptk0","SER-FSDU-CFT-12F",357,0,3048
"","","","","","1ne330r018","SER-FSDU-CFT-24F",357,0,3048
"","","","","","1ne338uebq","SER-FSDU-CFT-48F",357,0,3048
"SES-0-KTK-11453","SES-0","KTK 1 Year Fix","KTK","","1ne35j2khd","SER-FSDU-CFT-6F",91,0,728
"","","","","","1ne3gf0r21","SER-FSDU-CFT-12F",91,0,728
"","","","","","1ne3pl8dtv","SER-FSDU-CFT-24F",91,0,728
"","","","","","1ne34jl0jb","SER-FSDU-CFT-48F",91,0,728
"SCW-0-KTK-11452","SCW-0","KTK 1 Year Fix","KTK","","1ne3uhr32v","SER-FSDU-CFT-6F",122,0,1264
"","","","","","1ne3fk1vjq","SER-FSDU-CFT-12F",122,0,1264
"","","","","","1ne3427tdn","SER-FSDU-CFT-24F",122,0,1264
"","","","","","1ne3b2sa4b","SER-FSDU-CFT-48F",122,0,1264
