ID,RSU ID,RSU Code,Hoto Date ,ID (Executed),Executed FAT (Executed),Executed HP (Executed),Hoto Item (Executed),Incremental Hoto(fibre length) (Executed)
,,,,,0,0,SER-FSDU-CFT-12F,0
,,,,,0,0,SER-FSDU-CFT-24F,0
,,,,,0,0,SER-FSDU-CFT-48F,0
,BFD-0-KTK-11320,BFD-0,2024-01-20,,121,1712,SER-FSDU-CFT-6F,4056
,,,,,121,1712,SER-FSDU-CFT-12F,1436
,,,,,121,1712,SER-FSDU-CFT-24F,1821
,,,,,121,1712,SER-FSDU-CFT-48F,0
,BGD-0-KTK-11321,BGD-0,2023-04-20,,137,1672,SER-FSDU-CFT-6F,5760
,,,,,137,1672,SER-FSDU-CFT-12F,6296
,,,,,137,1672,SER-FSDU-CFT-24F,2032
,,,,,137,1672,SER-FSDU-CFT-48F,0
,BGI-0-KTK-11322,BGI-0,2025-02-20,,147,1464,SER-FSDU-CFT-6F,6086
,,,,,147,1464,SER-FSDU-CFT-12F,1089
,,,,,147,1464,SER-FSDU-CFT-24F,4108
,,,,,147,1464,SER-FSDU-CFT-48F,0
,BGI-0-KTK-11322,BGI-0,2025-03-20,,10,112,SER-FSDU-CFT-6F,584
,,,,,10,112,SER-FSDU-CFT-12F,79
,,,,,10,112,SER-FSDU-CFT-24F,94
,,,,,10,112,SER-FSDU-CFT-48F,0
,BLK-0-KTK-11323,BLK-0,2023-09-20,,9,144,SER-FSDU-CFT-6F,0
,,,,,9,144,SER-FSDU-CFT-12F,0
,,,,,9,144,SER-FSDU-CFT-24F,1088
,,,,,9,144,SER-FSDU-CFT-48F,0
,BMW-0-KTK-11324,BMW-0,2024-01-20,,202,2016,SER-FSDU-CFT-6F,9947
,,,,,202,2016,SER-FSDU-CFT-12F,4312
,,,,,202,2016,SER-FSDU-CFT-24F,3468
,,,,,202,2016,SER-FSDU-CFT-48F,0
,BMW-0-KTK-11324,BMW-0,2025-07-20,,0,0,SER-FSDU-CFT-6F,0
,,,,,0,0,SER-FSDU-CFT-12F,0
,,,,,0,0,SER-FSDU-CFT-24F,0
,,,,,0,0,SER-FSDU-CFT-48F,225
,BRW-0-KTK-11325,BRW-0,2024-08-20,,69,760,SER-FSDU-CFT-6F,2054
