"ID","RSU Code","SDU Billing Rates","Circle","GST State","ID (Rsu Items)","Item (Rsu Items)","Plan FAT (Rsu Items)","Plan Fibre length (Rsu Items)","Plan HP (Rsu Items)"
"","","","","","","SER-FSDU-CFT-48F",313,0,2864
"","BFD-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",145,0,2582
"","","","","","","SER-FSDU-CFT-12F",145,0,2582
"","","","","","","SER-FSDU-CFT-24F",145,0,2582
"","","","","","","SER-FSDU-CFT-48F",145,0,2582
"","BGD-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",196,0,1928
"","","","","","","SER-FSDU-CFT-12F",196,0,1928
"","","","","","","SER-FSDU-CFT-24F",196,0,1928
"","","","","","","SER-FSDU-CFT-48F",196,0,1928
"","BGI-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",164,0,1832
"","","","","","","SER-FSDU-CFT-12F",164,0,1832
"","","","","","","SER-FSDU-CFT-24F",164,0,1832
"","","","","","","SER-FSDU-CFT-48F",164,0,1832
"","BLK-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",11,0,260
"","","","","","","SER-FSDU-CFT-12F",11,0,260
"","","","","","","SER-FSDU-CFT-24F",11,0,260
"","","","","","","SER-FSDU-CFT-48F",11,0,260
"","BMW-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",215,0,1896
"","","","","","","SER-FSDU-CFT-12F",215,0,1896
"","","","","","","SER-FSDU-CFT-24F",215,0,1896
"","","","","","","SER-FSDU-CFT-48F",215,0,1896
"","BRW-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",71,0,792
"","","","","","","SER-FSDU-CFT-12F",71,0,792
"","","","","","","SER-FSDU-CFT-24F",71,0,792
"","","","","","","SER-FSDU-CFT-48F",71,0,792
"","BSP-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",143,0,1200
"","","","","","","SER-FSDU-CFT-12F",143,0,1200
"","","","","","","SER-FSDU-CFT-24F",143,0,1200
"","","","","","","SER-FSDU-CFT-48F",143,0,1200
"","BSR-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",247,0,2096
"","","","","","","SER-FSDU-CFT-12F",247,0,2096
"","","","","","","SER-FSDU-CFT-24F",247,0,2096
"","","","","","","SER-FSDU-CFT-48F",247,0,2096
"","BZL-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",52,0,520
"","","","","","","SER-FSDU-CFT-12F",52,0,520
"","","","","","","SER-FSDU-CFT-24F",52,0,520
"","","","","","","SER-FSDU-CFT-48F",52,0,520
"","CDS-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",100,0,864
